id_stop_departure,id_stop_arrival,price,departure_datetime,arrival_datetime
10,350,1297,19:00:00,11:45:00
10,372,1588,19:30:00,11:15:00
10,372,1588,18:30:00,10:15:00
10,106,1750,19:00:00,10:50:00
10,369,1297,19:00:00,6:30:00
10,3275,1750,19:00:00,11:40:00
10,350,1297,19:00:00,7:30:00
10,372,1588,19:00:00,10:15:00
10,1605,1156,18:30:00,5:30:00
10,1836,782,18:30:00,1:05:00
10,921,1320,18:30:00,9:25:00
10,1058,1150,19:30:00,9:45:00
10,1058,1297,19:00:00,9:15:00
10,644,388,18:20:00,22:50:00
10,647,1394,18:20:00,10:15:00
10,556,875,18:20:00,3:45:00
10,646,1327,18:20:00,9:10:00
10,556,875,18:20:00,3:45:00
10,646,1327,18:20:00,9:10:00
10,2361,1000.65,19:30:00,19:25:00
10,4088,900,19:30:00,14:35:00
10,3906,1000.65,19:30:00,18:05:00
10,2361,953,19:30:00,19:25:00
10,1469,1139,19:45:00,7:35:00
10,2947,1266,19:45:00,8:55:00
10,1471,1216,20:00:00,8:00:00
10,1471,1216,20:15:00,8:15:00
10,2956,1236,19:45:00,8:30:00
10,2947,1266,19:15:00,8:25:00
10,2167,1115,20:00:00,6:40:00
10,2167,1115,19:45:00,7:00:00
10,1471,1367,20:00:00,8:00:00
10,1469,1280,19:45:00,7:35:00
10,2947,1422,19:45:00,8:55:00
10,3030,500,14:15:00,19:45:00
10,2939,1540,14:15:00,7:40:00
10,1471,1215,20:50:00,9:20:00
10,2940,1472,19:40:00,11:30:00
10,2939,1540,20:45:00,14:00:00
10,1471,1215,19:40:00,8:10:00
10,1471,1215,20:45:00,9:15:00
10,2939,1540,19:40:00,13:00:00
10,1471,1215,14:15:00,3:10:00
10,2940,1472,14:15:00,6:15:00
10,2962,1443,19:40:00,11:00:00
10,3030,590,14:15:00,19:45:00
10,2946,1343,14:15:00,4:30:00
10,1874,334,14:15:00,18:00:00
10,1874,405,14:15:00,18:00:00
10,1874,405,20:50:00,0:40:00
10,2951,1295,20:45:00,10:05:00
10,2939,1730,14:15:00,7:40:00
10,2939,1730,20:45:00,14:00:00
10,1471,1367,14:15:00,3:10:00
10,2167,1253,19:40:00,6:45:00
10,1471,1367,19:40:00,8:10:00
10,1471,1367,20:45:00,9:15:00
10,2944,1526,19:40:00,10:00:00
10,2944,1526,20:45:00,11:15:00
10,2951,1455,20:45:00,10:05:00
10,2962,1622,14:15:00,5:30:00
10,2949,1559,14:15:00,5:10:00
10,2940,1654,14:15:00,6:15:00
10,2949,1559,20:45:00,11:30:00
10,2949,1559,19:40:00,10:20:00
10,1471,1216,21:00:00,9:30:00
10,2167,1115,21:00:00,7:30:00
10,1471,1216,18:45:00,7:15:00
10,2940,1472,18:45:00,10:45:00
10,2939,1540,18:45:00,11:45:00
10,1471,1216,21:15:00,9:45:00
10,1471,1216,18:50:00,7:20:00
10,1466,1028,21:00:00,7:00:00
10,2939,1540,18:50:00,11:50:00
10,1471,1216,21:09:00,9:39:00
10,1471,1216,18:53:00,7:23:00
10,2939,1540,18:47:00,11:47:00
10,1471,1216,19:00:00,7:30:00
10,2940,1472,18:47:00,10:47:00
