id,name,city,province,latitud,longitud
8954,San Francisco del Chañar,San Francisco del Chañar,Córdoba,,
50,Moron,Moron,Buenos Aires,"-346.490.832,00","-586.172.454,00"
3008,Alvear Acceso,Alvear,Corrientes,"-290.866.267,00","-565.541.893,00"
244,Salto,Salto,Buenos Aires,"-34.294.012,00","-602.529.329,00"
202,Longchamps,Longchamps,Buenos Aires,"-348.596.537,00","-583.899.683,00"
704,Villa Cañas,Villa Cañas,Santa Fe,"-340.082.166,00","-615.996.966,00"
2605,Santiago Temple,Santiago Temple,Córdoba,,
1396,Chavarría Acceso,Chavarria,Corrientes,,
1515,Ushuaia,Ushuaia,Tierra Del Fuego,"-548.079.277,00","-683.071.496,00"
1755,Bialet Masse,Bialet Masse,Córdoba,"-313.137.824,00","-644.618.243,00"
299,Laguna Larga,Laguna Larga,Córdoba,,
3500,Rio Turbio,Rio Turbio,Santa Cruz,"-516.136.796,00","-692.281.617,00"
3644,Simoca,Simoca,Tucumán,,
4411,La Francia,Cordoba ,Córdoba,,
74,Arrecifes,Arrecifes,Buenos Aires,"-34.063.967,00","-601.031.734,00"
1711,Avellaneda,Avellaneda,Santa Fe,,
560,Piedra del Aguila,Piedra del Aguila,Neuquén,"-400.519.442,00","-70.080.505,00"
2745,Chazon,Chazon,Córdoba,"-330.797.687,00","-63.272.584,00"
4894,30 de agosto,30 de agosto,Buenos Aires,"-359.691.853,00","-627.332.517,00"
1698,Tres Lomas,Tres Lomas,Buenos Aires,"-36.461.422,00","-628.643.668,00"
129,Alejandro Korn,Alejandro Korn,Buenos Aires,"-349.778.822,00","-583.811.088,00"
187,Jose C. Paz,Jose C. Paz,Buenos Aires,"-345.180.942,00","-587.496.317,00"
3230,Guernica,Guernica,Buenos Aires,"-349.173.924,00","-583.843.545,00"
700,Serrano,Serrano,Córdoba,"-344.715.552,00","-635.382.448,00"
1075,Olivos,Olivos,Buenos Aires,"-34.502.528,00","-584.953.205,00"
4166,Saavedra Acceso,Saavedra,Buenos Aires,,
2761,Tancacha,Tancacha,Córdoba,,
3965,Las Heras,Las Heras,Santa Cruz,"-465.383.034,00","-689.353.788,00"
3967,Perito Moreno,Perito Moreno,Santa Cruz,"-465.834.883,00","-709.278.305,00"
4248,La Playosa,La Playosa,Córdoba,,
4271,Bella Vista,Bella Vista,San Juan,,
2741,Adelia Maria,Rio Cuarto,Córdoba,"-331.141.017,00","-643.517.467,00"
